Unit name,Time From,Time To,Heat Demand,Produced heat,Electricity Price,Electricity usage,Expenses,Primary energy,CO2
EK,07/09/2023 14:00:00,07/09/2023 15:00:00,1.43,1.43,336.38,1.43,552.5234,0,0
EK,07/09/2023 15:00:00,07/09/2023 16:00:00,1.42,1.42,413.63,1.42,658.3546,0,0
GB,07/09/2023 16:00:00,07/09/2023 17:00:00,1.47,1.47,547.35,0,735,0.3234,63.209999999999994
GB,07/09/2023 17:00:00,07/09/2023 18:00:00,1.46,1.46,618,0,730,0.3212,62.779999999999994
GB,07/09/2023 18:00:00,07/09/2023 19:00:00,1.5,1.5,783.08,0,750,0.33,64.5
GM,07/09/2023 19:00:00,07/09/2023 20:00:00,1.5,1.5,916.58,-1.125,618.8475000000001,0.7916666666666665,266.66666666666663
GM,07/09/2023 20:00:00,07/09/2023 21:00:00,1.44,1.44,990,-1.08,514.8000000000002,0.7599999999999999,255.99999999999997
GM,07/09/2023 21:00:00,07/09/2023 22:00:00,1.45,1.45,1005.75,-1.0875,501.24687500000005,0.7652777777777776,257.77777777777777
GM,07/09/2023 22:00:00,07/09/2023 23:00:00,1.44,1.44,990.9,-1.08,513.828,0.7599999999999999,255.99999999999997
GM,07/09/2023 23:00:00,07/10/2023 00:00:00,1.47,1.47,897,-1.1025,628.0575,0.7758333333333333,261.3333333333333
GM,07/10/2023 00:00:00,07/10/2023 01:00:00,1.4,1.4,843.68,-1.05,654.1360000000001,0.7388888888888887,248.88888888888886
GB,07/10/2023 01:00:00,07/10/2023 02:00:00,1.32,1.32,765,0,660,0.29040000000000005,56.760000000000005
GB,07/10/2023 02:00:00,07/10/2023 03:00:00,1.28,1.28,707.25,0,640,0.2816,55.04
GB,07/10/2023 03:00:00,07/10/2023 04:00:00,1.33,1.33,689.55,0,665,0.2926,57.190000000000005
GB,07/10/2023 04:00:00,07/10/2023 05:00:00,1.35,1.35,699.83,0,675,0.29700000000000004,58.050000000000004
GB,07/10/2023 05:00:00,07/10/2023 06:00:00,1.35,1.35,788.55,0,675,0.29700000000000004,58.050000000000004
GM,07/10/2023 06:00:00,07/10/2023 07:00:00,1.42,1.42,912.53,-1.065,590.15555,0.7494444444444444,252.44444444444443
GM,07/10/2023 07:00:00,07/10/2023 08:00:00,1.49,1.49,995.85,-1.1175,526.1376250000001,0.7863888888888888,264.88888888888886
GM,07/10/2023 08:00:00,07/10/2023 09:00:00,1.55,1.55,1007.03,-1.1625,534.3276249999999,0.8180555555555555,275.55555555555554
GM,07/10/2023 09:00:00,07/10/2023 10:00:00,1.58,1.58,884.63,-1.185,689.71345,0.8338888888888888,280.8888888888889
GB,07/10/2023 10:00:00,07/10/2023 11:00:00,1.68,1.6799999999999997,789.6,0,840,0.3696,72.24
GM,07/10/2023 10:00:00,07/10/2023 11:00:00,2.220446049250313E-16,2.220446049250313E-16,789.6,-1.665334536937735E-16,1.1275425038093089E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/10/2023 11:00:00,07/10/2023 12:00:00,1.73,1.73,712.43,0,865,0.3806,74.39
GB,07/10/2023 12:00:00,07/10/2023 13:00:00,1.68,1.6799999999999997,669.23,0,840,0.3696,72.24
GM,07/10/2023 12:00:00,07/10/2023 13:00:00,2.220446049250313E-16,2.220446049250313E-16,669.23,-1.665334536937735E-16,1.3279988220205038E-13,1.1719020815487764E-16,3.9474596431116676E-14
GB,07/10/2023 13:00:00,07/10/2023 14:00:00,1.62,1.62,601.2,0,810,0.35640000000000005,69.66
GB,07/10/2023 14:00:00,07/10/2023 15:00:00,1.51,1.51,483.53,0,755,0.3322,64.92999999999999
GB,07/10/2023 15:00:00,07/10/2023 16:00:00,1.53,1.53,463.58,0,765,0.3366,65.78999999999999
GB,07/10/2023 16:00:00,07/10/2023 17:00:00,1.46,1.46,472.05,0,730,0.3212,62.779999999999994
GB,07/10/2023 17:00:00,07/10/2023 18:00:00,1.51,1.51,602.7,0,755,0.3322,64.92999999999999
GM,07/10/2023 18:00:00,07/10/2023 19:00:00,1.55,1.55,914.78,-1.1625,641.56825,0.8180555555555555,275.55555555555554
